meme_id,timestep,agent1,agent2
500,17,30.0,34.0
500,17,30.0,35.0
500,17,30.0,36.0
500,17,30.0,37.0
500,17,30.0,38.0
500,17,30.0,39.0
363,17,19.0,9.0
510,17,10.0,11.0
510,17,10.0,12.0
510,17,10.0,13.0
510,17,10.0,14.0
510,17,10.0,15.0
510,17,10.0,16.0
510,17,10.0,17.0
510,17,10.0,18.0
510,17,10.0,19.0
16,17,1l,5.0
16,17,1l,7.0
16,17,1l,16.0
16,17,1l,47.0
16,17,1l,0h
512,17,1l,5.0
512,17,1l,7.0
512,17,1l,16.0
512,17,1l,47.0
512,17,1l,0h
513,17,0.0,1.0
513,17,0.0,2.0
513,17,0.0,3.0
513,17,0.0,4.0
513,17,0.0,5.0
513,17,0.0,6.0
513,17,0.0,7.0
513,17,0.0,8.0
513,17,0.0,9.0
514,17,30.0,31.0
514,17,30.0,32.0
514,17,30.0,33.0
514,17,30.0,34.0
514,17,30.0,35.0
514,17,30.0,36.0
514,17,30.0,37.0
514,17,30.0,38.0
514,17,30.0,39.0
427,17,29.0,19.0
519,18,40.0,41.0
519,18,40.0,42.0
519,18,40.0,43.0
519,18,40.0,44.0
519,18,40.0,45.0
519,18,40.0,46.0
519,18,40.0,47.0
519,18,40.0,48.0
519,18,40.0,49.0
429,18,1l,5.0
429,18,1l,7.0
429,18,1l,16.0
429,18,1l,47.0
429,18,1l,0h
521,18,30.0,31.0
521,18,30.0,32.0
521,18,30.0,33.0
521,18,30.0,34.0
521,18,30.0,35.0
521,18,30.0,36.0
521,18,30.0,37.0
521,18,30.0,38.0
521,18,30.0,39.0
30,18,0h,9.0
30,18,0h,14.0
30,18,0h,19.0
30,18,0h,34.0
30,18,0h,1l
461,18,29.0,19.0
423,18,29.0,19.0
527,18,19.0,9.0
429,18,0h,9.0
429,18,0h,14.0
429,18,0h,19.0
429,18,0h,34.0
429,18,0h,1l
536,18,0h,9.0
536,18,0h,14.0
536,18,0h,19.0
536,18,0h,34.0
536,18,0h,1l
545,19,0h,9.0
545,19,0h,14.0
545,19,0h,19.0
545,19,0h,34.0
545,19,0h,1l
547,19,30.0,31.0
547,19,30.0,32.0
547,19,30.0,33.0
547,19,30.0,34.0
547,19,30.0,35.0
547,19,30.0,36.0
547,19,30.0,37.0
547,19,30.0,38.0
547,19,30.0,39.0
310,19,29.0,19.0
467,19,49.0,39.0
287,19,0h,9.0
287,19,0h,14.0
287,19,0h,19.0
287,19,0h,34.0
287,19,0h,1l
416,19,39.0,29.0
557,19,40.0,41.0
557,19,40.0,42.0
557,19,40.0,43.0
557,19,40.0,44.0
557,19,40.0,45.0
557,19,40.0,46.0
557,19,40.0,47.0
557,19,40.0,48.0
557,19,40.0,49.0
564,19,0.0,1.0
564,19,0.0,2.0
564,19,0.0,3.0
564,19,0.0,4.0
564,19,0.0,5.0
564,19,0.0,6.0
564,19,0.0,7.0
564,19,0.0,8.0
564,19,0.0,9.0
310,19,29.0,19.0
416,20,39.0,29.0
429,20,1l,5.0
429,20,1l,7.0
429,20,1l,16.0
429,20,1l,47.0
429,20,1l,0h
485,20,39.0,29.0
576,20,0.0,1.0
576,20,0.0,2.0
576,20,0.0,3.0
576,20,0.0,4.0
576,20,0.0,5.0
576,20,0.0,6.0
576,20,0.0,7.0
576,20,0.0,8.0
576,20,0.0,9.0
577,20,0.0,1.0
577,20,0.0,2.0
577,20,0.0,3.0
577,20,0.0,4.0
577,20,0.0,5.0
577,20,0.0,6.0
577,20,0.0,7.0
577,20,0.0,8.0
577,20,0.0,9.0
581,20,10.0,11.0
581,20,10.0,12.0
581,20,10.0,13.0
581,20,10.0,14.0
581,20,10.0,15.0
581,20,10.0,16.0
581,20,10.0,17.0
581,20,10.0,18.0
581,20,10.0,19.0
582,20,1l,5.0
582,20,1l,7.0
582,20,1l,16.0
582,20,1l,47.0
582,20,1l,0h
583,20,49.0,39.0
594,20,40.0,41.0
594,20,40.0,42.0
594,20,40.0,43.0
594,20,40.0,44.0
594,20,40.0,45.0
594,20,40.0,46.0
594,20,40.0,47.0
594,20,40.0,48.0
594,20,40.0,49.0
596,20,0.0,1.0
596,20,0.0,2.0
596,20,0.0,3.0
596,20,0.0,4.0
596,20,0.0,5.0
596,20,0.0,6.0
596,20,0.0,7.0
596,20,0.0,8.0
596,20,0.0,9.0
308,21,49.0,39.0
287,21,0h,9.0
287,21,0h,14.0
287,21,0h,19.0
287,21,0h,34.0
287,21,0h,1l
603,21,30.0,31.0
603,21,30.0,32.0
603,21,30.0,33.0
603,21,30.0,34.0
603,21,30.0,35.0
603,21,30.0,36.0
603,21,30.0,37.0
603,21,30.0,38.0
603,21,30.0,39.0
608,21,19.0,9.0
609,21,10.0,11.0
609,21,10.0,12.0
609,21,10.0,13.0
609,21,10.0,14.0
609,21,10.0,15.0
609,21,10.0,16.0
609,21,10.0,17.0
609,21,10.0,18.0
609,21,10.0,19.0
616,21,20.0,21.0
616,21,20.0,22.0
616,21,20.0,23.0
616,21,20.0,24.0
616,21,20.0,25.0
616,21,20.0,26.0
616,21,20.0,27.0
616,21,20.0,28.0
616,21,20.0,29.0
581,21,19.0,9.0
423,21,29.0,19.0
487,21,29.0,19.0
623,21,40.0,41.0
623,21,40.0,42.0
623,21,40.0,43.0
623,21,40.0,44.0
623,21,40.0,45.0
623,21,40.0,46.0
623,21,40.0,47.0
623,21,40.0,48.0
623,21,40.0,49.0
631,22,1l,5.0
631,22,1l,7.0
631,22,1l,16.0
631,22,1l,47.0
631,22,1l,0h
633,22,40.0,41.0
633,22,40.0,42.0
633,22,40.0,43.0
633,22,40.0,44.0
633,22,40.0,45.0
633,22,40.0,46.0
633,22,40.0,47.0
633,22,40.0,48.0
633,22,40.0,49.0
634,22,30.0,31.0
634,22,30.0,32.0
634,22,30.0,33.0
634,22,30.0,34.0
634,22,30.0,35.0
634,22,30.0,36.0
634,22,30.0,37.0
634,22,30.0,38.0
634,22,30.0,39.0
636,22,30.0,31.0
636,22,30.0,32.0
636,22,30.0,33.0
636,22,30.0,34.0
636,22,30.0,35.0
636,22,30.0,36.0
636,22,30.0,37.0
636,22,30.0,38.0
636,22,30.0,39.0
640,22,0.0,1.0
640,22,0.0,2.0
640,22,0.0,3.0
640,22,0.0,4.0
640,22,0.0,5.0
640,22,0.0,6.0
640,22,0.0,7.0
